Station,Year,DJF,MAM,JJA,SON
Marre Sale,1914,-999.9,-999.9,-999.9,-4.482615
Marre Sale,1915,-18.33091,-11.89457,9.499456,-7.069231
Marre Sale,1916,-23.77692,-14.8538,2.553805,-5.856593
Marre Sale,1917,-27.10124,-13.81033,2.352174,-7.39011
Marre Sale,1918,-20.59575,-14.83641,5.309693,-999.9
Marre Sale,1919,-999.9,-999.9,-999.9,-999.9
Marre Sale,1920,-999.9,-999.9,-999.9,-5.315384
Marre Sale,1921,-999.9,-999.9,-999.9,-2.587493
Marre Sale,1922,-21.15141,-11.48587,-999.9,-3.246119
Marre Sale,1923,-999.9,-999.9,-999.9,-999.9
Marre Sale,1924,-999.9,-999.9,-999.9,-999.9
Marre Sale,1925,-18.48092,-999.9,-999.9,-4.50177
Marre Sale,1926,-20.22707,-11.47228,4.240761,-999.9
Marre Sale,1927,-999.9,-999.9,-999.9,-999.9
Marre Sale,1928,-18.8022,-16.37174,5.319565,-3.97967
Marre Sale,1929,-20.5408,-16.4288,5.070652,-0.5467031
Marre Sale,1930,-19.37157,-15.90272,5.259239,-4.414835
Marre Sale,1931,-19.12487,-13.94457,7.127174,-1.378571
Marre Sale,1932,-19.61978,-11.12337,4.439674,-4.273077
Marre Sale,1933,-22.34959,-14.6212,4.506522,-6.573627
Marre Sale,1934,-17.17322,-12.24348,4.496196,-2.758242
Marre Sale,1935,-17.24465,-13.43696,3.908696,-4.084615
Marre Sale,1936,-20.29061,-11.19293,4.053261,-1.023626
Marre Sale,1937,-12.50619,-14.29239,5.590218,-1.996154
Marre Sale,1938,-17.82706,-9.401088,6.389131,-4.069231
Marre Sale,1939,-20.62926,-12.41087,5.157609,-4.668681
Marre Sale,1940,-19.56044,-13.03152,5.376631,-3.914835
Marre Sale,1941,-24.48256,-15.37881,5.386413,-2.537912
Marre Sale,1942,-18.5919,-15.425,8.001087,-4.583516
Marre Sale,1943,-15.33036,-8.604892,7.479892,-1.316483
Marre Sale,1944,-15.41484,-10.4087,5.357609,0.1532969
Marre Sale,1945,-13.40289,-11.80652,7.713587,-4.715934
Marre Sale,1946,-21.39465,-12.27989,3.185326,-5.765934
Marre Sale,1947,-20.31772,-10.76467,4.716305,-2.562637
Marre Sale,1948,-18.42473,-12.50978,5.1875,-0.8692307
Marre Sale,1949,-21.2952,-10.02609,2.649457,-4.501648
Marre Sale,1950,-23.62157,-9.680979,5.471196,-2.068132
Marre Sale,1951,-19.93036,-11.50761,4.440761,-2.496154
Marre Sale,1952,-16.72582,-14.96902,5.611413,-5.10989
Marre Sale,1953,-22.26827,-10.34076,7.159239,-5.126373
Marre Sale,1954,-15.87542,-11.14127,7.713044,-2.076923
Marre Sale,1955,-17.26992,-11.85109,7.821739,-4.793956
Marre Sale,1956,-21.67912,-11.20924,7.990761,-7.642857
Marre Sale,1957,-18.74794,-14.86087,7.052174,-9.462637
Marre Sale,1958,-22.42652,-17.9625,3.959783,-5.925824
Marre Sale,1959,-22.21498,-12.19565,8.08587,-3.08022
Marre Sale,1960,-23.61813,-15.22989,3.754348,-6.610439
Marre Sale,1961,-18.39849,-9.740218,7.201087,-4.961538
Marre Sale,1962,-20.22047,-9.950544,6.920109,-3.54011
Marre Sale,1963,-22.30783,-14.65924,5.89837,-4.755562
Marre Sale,1964,-23.12253,-16.70924,5.357065,-6.760439
Marre Sale,1965,-19.86388,-12.79185,6.313587,-8.208241
Marre Sale,1966,-23.95509,-16.04883,4.494022,-6.380769
Marre Sale,1967,-19.79465,-8.595653,6.780435,-0.5620878
Marre Sale,1968,-17.94231,-11.73493,2.7,-9.595604
Marre Sale,1969,-25.4452,-16.20761,4.103361,-3.832417
Marre Sale,1970,-20.17518,-13.18688,3.411957,-4.168268
Marre Sale,1971,-22.46113,-13.64022,4.294022,-5.035714
Marre Sale,1972,-20.16999,-13.69361,4.871196,-7.747252
Marre Sale,1973,-20.77986,-11.03229,5.902786,-5.625053
Marre Sale,1974,-21.24883,-12.6609,5.945342,-999.9
Marre Sale,1975,-999.9,-12.46111,4.801853,-4.330151
Marre Sale,1976,-999.9,-10.75077,6.458383,-4.760664
Marre Sale,1977,-23.28767,-11.54783,6.950544,-5.208241
Marre Sale,1978,-21.22597,-14.79837,3.772283,-5.195055
Marre Sale,1979,-28.30674,-16.97554,5.81087,-4.743956
Marre Sale,1980,-19.97802,-11.775,3.654891,-5.431868
Marre Sale,1981,-15.53036,-15.97065,6.025544,-1.435714
Marre Sale,1982,-20.20454,-12.07609,6.159783,-7.098901
Marre Sale,1983,-17.64849,-13.91576,6.191848,-3.112637
Marre Sale,1984,-14.08956,-13.22228,7.946196,-8.104945
Marre Sale,1985,-23.49355,-12.79565,5.134783,-2.850549
Marre Sale,1986,-22.27652,-11.00924,4.622827,-2.141209
Marre Sale,1987,-25.01937,-12.87881,4.777718,-4.317582
Marre Sale,1988,-19.71319,-12.03261,5.666305,-5.167583
Marre Sale,1989,-19.83366,-9.660326,7.553261,-3.154396
Marre Sale,1990,-23.02597,-9.451088,8.232609,-7.77912
Marre Sale,1991,-22.20234,-10.97065,6.6875,-2.645055
Marre Sale,1992,-19.99286,-12.84185,4.616848,-9.104395
Marre Sale,1993,-16.52487,-11.4125,8.371196,-3.052747
Marre Sale,1994,-24.53311,-10.85054,7.291305,-4.492857
Marre Sale,1995,-15.14355,-7.182065,8.107609,-4.305494
Marre Sale,1996,-17.56154,-9.923914,5.98913,-1.707692
Marre Sale,1997,-22.18696,-8.756522,3.040218,-3.047802
Marre Sale,1998,-25.65124,-13.2625,6.79837,-11.2467
Marre Sale,1999,-22.46113,-15.71413,3.739131,-4.886813
Marre Sale,2000,-18.92253,-9.317935,7.202417,-5.628418
Marre Sale,2001,-25.82981,-13.43967,6.682609,-2.361538
Marre Sale,2002,-22.20399,-11.0875,6.7475545,-4.144536
Marre Sale,2003,-22.75619,-10.99946,6.8125,-3.893956
Marre Sale,2004,-17.89011,-14.83207,8.038588,-4.106328
Marre Sale,2005,-16.24347,-13.03478,7.306522,0.3313189
Marre Sale,2006,-18.94465,-13.49076,7.108696,-5.993406
Marre Sale,2007,-17.70783,-8.469023,7.511413,-1.450071
Marre Sale,2008,-14.62088,-11.92826,6.957609,-2.217582
Marre Sale,2009,-17.06663,-12.11685,6.60924,-3.837363
Marre Sale,2010,-24.38696,-11.17989,4.742935,-3.370879
Marre Sale,2011,-20.08201,-6.293478,5.525,-0.8857141
Marre Sale,2012,-11.66319,-10.81659,9.623913,-2.290753
Marre Sale,2013,-18.80819,-13.02826,8.727278,-999.9
Marre Sale,2014,-999.9,-999.9,-999.9,-999.9
Marre Sale,2015,-999.9,-999.9,6.934008,-999.9
Marre Sale,2016,-999.9,-999.9,9.325098,-999.9
Marre Sale,2017,-999.9,-11.78938,6.90352,-999.9
Marre Sale,2018,-999.9,-999.9,5.44347,-999.9
Hoseda Hard,1936,-22.05942,-7.196739,11.20435,-0.1785715
Hoseda Hard,1937,-11.62997,-9.430435,10.10637,-1.180769
Hoseda Hard,1938,-19.02502,-4.340761,11.03098,-2.834615
Hoseda Hard,1939,-19.40744,-9.240217,9.555978,-2.566483
Hoseda Hard,1940,-19.90604,-9.173913,11.93913,-2.707692
Hoseda Hard,1941,-24.64755,-11.2038,9.0875,-2.720879
Hoseda Hard,1942,-21.28821,-12.2587,11.3837,-3.839011
Hoseda Hard,1943,-999.9,-999.9,11.3837,-999.9
Hoseda Hard,1944,-999.9,-999.9,11.3837,-999.9
Hoseda Hard,1945,-999.9,-999.9,11.3837,-3.854945
Hoseda Hard,1946,-22.28052,-8.506522,9.088043,-4.45989
Hoseda Hard,1947,-16.71788,-7.334783,8.770108,-2.05
Hoseda Hard,1948,-17.51099,-6.572283,10.11522,0.3642857
Hoseda Hard,1949,-20.18821,-6.3375,9.244021,-3.346154
Hoseda Hard,1950,-20.14315,-3.67663,9.732609,-1.818132
Hoseda Hard,1951,-17.59151,-5.822826,10.19076,-1.423626
Hoseda Hard,1952,-13.81593,-11.71087,10.46739,-4.636264
Hoseda Hard,1953,-21.16074,-6.619022,12.78152,-4.946154
Hoseda Hard,1954,-15.11513,-5.815761,11.77989,-1.783516
Hoseda Hard,1955,-15.67172,-7.149457,10.17663,-3.943407
Hoseda Hard,1956,-22.06429,-7.0375,11.8,-6.515934
Hoseda Hard,1957,-15.81458,-10.23043,12.07391,-5.225824
Hoseda Hard,1958,-17.65469,-13.78098,8.596739,-3.160439
Hoseda Hard,1959,-20.28271,-7.592935,11.76033,-3.585165
Hoseda Hard,1960,-21.11923,-10.79022,9.998913,-5.334066
Hoseda Hard,1961,-14.49755,-6.655978,12.00815,-3.009341
Hoseda Hard,1962,-15.05085,-4.359783,10.82989,-1.222528
Hoseda Hard,1963,-19.85194,-10.97228,11.07663,-2.902198
Hoseda Hard,1964,-22.85549,-12.70489,10.41793,-5.769231
Hoseda Hard,1965,-17.46733,-8.15,10.6125,-7.956594
Hoseda Hard,1966,-21.9003,-9.665217,9.7625,-4.028022
Hoseda Hard,1967,-19.75414,-2.243732,11.55978,0.2807693
Hoseda Hard,1968,-18.02637,-7.452717,8.171739,-8.295055
Hoseda Hard,1969,-25.06293,-11.77717,8.059238,-2.895055
Hoseda Hard,1970,-20.05799,-7.964674,8.523369,-3.335714
Hoseda Hard,1971,-19.09096,-10.31576,8.444565,-4.266483
Hoseda Hard,1972,-19.28077,-9.623913,10.11359,-6.356044
Hoseda Hard,1973,-18.14484,-6.175812,10.99516,-4.963737
Hoseda Hard,1974,-20.46788,-7.741848,13.08913,-5.964417
Hoseda Hard,1975,-16.01348,-6.665217,8.966847,-3.481319
Hoseda Hard,1976,-18.70714,-5.446739,11.81685,-4.287912
Hoseda Hard,1977,-19.35085,-5.786413,12.17337,-4.602747
Hoseda Hard,1978,-16.96733,-11.725,8.517391,-3.743956
Hoseda Hard,1979,-25.65854,-9.961413,9.595108,-3.244505
Hoseda Hard,1980,-19.04835,-7.455435,8.173913,-3.256593
Hoseda Hard,1981,-13.66953,-10.85543,12.35326,0.6846156
Hoseda Hard,1982,-18.79251,-6.491304,10.80761,-4.164835
Hoseda Hard,1983,-15.31788,-8.294565,10.68533,-2.303297
Hoseda Hard,1984,-13.54066,-7.716304,11.49565,-6.677473
Hoseda Hard,1985,-24.10469,-8.813044,9.715218,-2.265385
Hoseda Hard,1986,-22.15799,-6.610326,8.372826,-1.385714
Hoseda Hard,1987,-24.58766,-8.942391,10.27011,-2.646154
Hoseda Hard,1988,-18.91538,-7.275544,11.23261,-4.271978
Hoseda Hard,1989,-18.39425,-4.728805,12.75706,-2.26978
Hoseda Hard,1990,-19.32997,-4.959783,12.82391,-7.74011
Hoseda Hard,1991,-18.01898,-4.798369,11.47717,-1.180769
Hoseda Hard,1992,-19.76209,-8.235869,8.830435,-7.603846
Hoseda Hard,1993,-14.69535,-6.740217,13.50435,-3.970879
Hoseda Hard,1994,-20.12612,-5.724457,11.86957,-4.70798
Hoseda Hard,1995,-11.04425,-2.107609,10.88261,-3.603297
Hoseda Hard,1996,-17.34945,-6.175,9.819021,-1.245055
Hoseda Hard,1997,-21.51898,-4.236957,8.251087,-3.552747
Hoseda Hard,1998,-25.79095,-8.985326,12.28207,-9.151648
Hoseda Hard,1999,-22.4003,-12.27935,9.391304,-3.545604
Hoseda Hard,2000,-16.31154,-3.913587,12.43587,-1.268132
Hoseda Hard,2001,-21.33106,-6.507609,11.16739,-4.477472
Hoseda Hard,2002,-19.68381,-6.130435,10.07065,-4.603846
Hoseda Hard,2003,-21.66129,-6.117392,12.81652,-1.388461
Hoseda Hard,2004,-18.42942,-7.154620,12.53924,0.3917585
Hoseda Hard,2005,-15.19755,-8.191848,12.26196,2.171978
Hoseda Hard,2006,-19.73271,-7.595109,11.47391,-4.896154
Hoseda Hard,2007,-16.71733,-3.525543,13.27446,-0.8016484
Hoseda Hard,2008,-13.12253,-8.232065,11.91522,-0.7565935
Hoseda Hard,2009,-17.15359,-7.510326,11.2462,-2.534066
Hoseda Hard,2010,-25.68656,-4.778261,10.43533,-1.988462
Hoseda Hard,2011,-21.03711,-1.214674,10.96033,-0.5576923
Hoseda Hard,2012,-13.15769,-4.830978,13.71739,-0.8434064
Hoseda Hard,2013,-20.33546,-7.944565,14.02283,-1.985714
